benchmark,algorithm,time
npuzzle_5x5_len5_5.txt,bfs,0.3168
npuzzle_5x5_len5_5.txt,dfs,0.3474
npuzzle_5x5_len5_5.txt,astar,0.2788
npuzzle_4x4_len3_9.txt,bfs,0.2783
npuzzle_4x4_len3_9.txt,dfs,0.2677
npuzzle_4x4_len3_9.txt,astar,0.2758
npuzzle_3x3_len1_1.txt,bfs,0.2525
npuzzle_3x3_len1_1.txt,dfs,0.2861
npuzzle_3x3_len1_1.txt,astar,0.2894
npuzzle_3x3_len8_4.txt,bfs,0.3127
npuzzle_3x3_len8_4.txt,dfs,0.5019
npuzzle_3x3_len8_4.txt,astar,0.3236
npuzzle_3x3_len2_4.txt,bfs,0.3295
npuzzle_3x3_len2_4.txt,dfs,0.2915
npuzzle_3x3_len2_4.txt,astar,0.2685
npuzzle_5x5_len5_8.txt,bfs,0.246
npuzzle_5x5_len5_8.txt,dfs,0.2236
npuzzle_5x5_len5_8.txt,astar,0.3246
npuzzle_4x4_len9_1.txt,bfs,0.2725
npuzzle_4x4_len9_1.txt,dfs,0.2526
npuzzle_4x4_len9_1.txt,astar,0.2418
npuzzle_3x3_len7_1.txt,bfs,0.2248
npuzzle_3x3_len7_1.txt,dfs,0.2326
npuzzle_3x3_len7_1.txt,astar,0.2292
npuzzle_4x4_len10_5.txt,bfs,0.2547
npuzzle_4x4_len10_5.txt,dfs,0.2278
npuzzle_4x4_len10_5.txt,astar,0.2371
npuzzle_3x3_len6_4.txt,bfs,0.2426
npuzzle_3x3_len6_4.txt,dfs,0.2222
npuzzle_3x3_len6_4.txt,astar,0.2234
npuzzle_5x5_len5_2.txt,bfs,0.2222
npuzzle_5x5_len5_2.txt,dfs,0.2313
npuzzle_5x5_len5_2.txt,astar,0.2857
npuzzle_4x4_len5_7.txt,bfs,0.2425
npuzzle_4x4_len5_7.txt,dfs,0.226
npuzzle_4x4_len5_7.txt,astar,0.2275
npuzzle_5x5_len6_3.txt,bfs,0.2475
npuzzle_5x5_len6_3.txt,dfs,0.2313
npuzzle_5x5_len6_3.txt,astar,0.2259
npuzzle_5x5_len3_6.txt,bfs,0.2273
npuzzle_5x5_len3_6.txt,dfs,0.2369
